altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
15,"25,0","0,0","21,9","28,1",,,,"1016,8","1014,1"
442,"22,6","0,0","12,5","32,7",26,"0,8","6,4","970,9","967,8"
43,"24,6","0,0","16,9","32,2",99,"1,7","6,1","1020,2","1017,7"
949,"22,8","0,0","12,6","32,9",21,"0,8","4,7","918,2","915,2"
532,"22,8","0,0","12,9","32,6",10,"1,1","4,2","961,2","956,7"
34,"28,0","0,0","19,0","36,9",09,"2,5","8,9","1017,9","1013,5"
2369,"18,3","0,0","14,2","22,4",16,"3,6","9,7","777,0","775,5"
692,,"0,0",,,16,"0,6","5,3","939,0","938,8"
1530,"18,8","0,0","12,8","24,8",14,"1,7","8,9","858,4","856,2"
394,"26,6","0,0","18,7","34,4",18,"1,4","5,6","977,8","974,0"
667,"24,0",,"18,1","30,0",99,"1,9","5,6","948,4","944,9"
1510,"17,6",,"9,2","25,9",10,"1,4","9,2","860,4","858,2"
185,"26,4","0,0","16,0","36,9",07,"1,9","7,5","999,9","995,2"
6,"21,9","0,0","16,3","27,5",14,"3,6","7,2","1023,2","1019,8"
567,"24,0","0,0","12,1","35,9",17,"2,5","10,8","958,4","954,3"
87,"23,0","0,0","21,3","24,8",10,"3,1","7,2","1013,3","1010,1"
208,"24,1","0,0","15,0","33,2",,,,"997,4","994,6"
769,"23,8",,"14,9","32,7",21,"1,9","9,2","936,1","933,4"
850,"20,4","0,0","10,0","30,9",22,"1,7","8,3","928,4","925,3"
115,"24,6","0,0","19,3","29,9",99,"3,3","7,5","1005,3","1002,7"
410,"26,3","0,0","16,9","35,7",17,"2,8","10,6","974,2","972,0"
808,"26,6","0,0","18,2","34,9",15,"2,2","8,1","930,5","928,7"
582,"23,2","0,0","12,0","34,3",99,"1,1","3,9","956,6","952,5"
17,"24,0","0,0","20,6","27,4",99,"2,2","6,1","1021,7","1019,9"
88,"23,8","0,0","16,3","31,4",33,"1,9","6,4","1013,6","1010,0"
715,"21,9","0,0","12,3","31,5",22,"1,4","10,6","940,6","937,9"
874,"23,4","0,0","14,9","31,9",24,"3,9","11,7",,
43,"23,4","0,0","18,8","28,1",11,"1,9","6,4","1018,6","1016,4"
25,"25,6","0,0","22,6","28,6",05,"5,0","8,9","1015,3","1012,5"
1893,"19,2","0,0","15,5","23,0",14,"5,0","11,7","822,4","820,8"
870,"19,5","0,0","8,3","30,7",20,"1,9","9,2","924,7","920,8"
1220,"20,4","0,0","16,7","24,0",,,,,
334,"22,0","0,0","13,4","30,6",06,"1,7","6,7",,
